timestamp,label,cycle,step,from_model,to_model,vram_before_stop_mib,vram_after_stop_mib,vram_released_mib,stop_duration_s,load_duration_s,total_duration_s,swap_total_wait_s,vram_peak_during_run_mib,vram_avg_during_run_mib,gpu_util_peak_pct,gpu_util_avg_pct,eval_rate_tps,note
2026-08-03T21:21:06,スワップ総当たり連続,1,1,,gemma4:26b,1678,1678,0,,22.3601724,32.1859975,,15533,10443.4,47,16.6,85.16,初回ロード(スワップなし)
2026-08-03T21:21:19,スワップ総当たり連続,1,2,gemma4:26b,gpt-oss:20b,15533,1369,14164,1.028,9.6041741,11.3111689,10.632,13826,10563.1,87,14.8,146.75,
2026-08-03T21:21:36,スワップ総当たり連続,1,3,gpt-oss:20b,devstral-small-2:24b,13826,1349,12477,1.973,10.3240492,14.6975344,12.297,15439,11876.7,100,21.5,30.07,
2026-08-03T21:22:05,スワップ総当たり連続,2,1,devstral-small-2:24b,gemma4:26b,15439,1265,14174,0.937,18.1094198,28.490824,19.047,15504,11409.6,48,19.2,82.78,
2026-08-03T21:22:18,スワップ総当たり連続,2,2,gemma4:26b,gpt-oss:20b,15516,1406,14110,1.11,9.883378,11.4525038,10.993,13983,10698.6,86,17.0,133.94,
2026-08-03T21:22:35,スワップ総当たり連続,2,3,gpt-oss:20b,devstral-small-2:24b,13825,1368,12457,2.012,10.8608563,14.4854812,12.873,15507,11922.5,54,18.5,29.19,
2026-08-03T21:23:04,スワップ総当たり連続,3,1,devstral-small-2:24b,gemma4:26b,15507,1323,14184,1.989,20.1035656,27.4610524,22.093,15707,10929.5,51,14.7,76.54,
2026-08-03T21:23:17,スワップ総当たり連続,3,2,gemma4:26b,gpt-oss:20b,15643,1507,14136,1.108,9.8995886,11.4695457,11.007,13995,10748.2,87,14.6,150.82,
2026-08-03T21:23:34,スワップ総当たり連続,3,3,gpt-oss:20b,devstral-small-2:24b,13995,1518,12477,1.994,10.4081526,14.8670989,12.402,15601,12098.8,80,18.5,30.01,
2026-08-03T21:24:06,スワップ総当たり連続,4,1,devstral-small-2:24b,gemma4:26b,15601,1480,14121,0.951,19.020455,30.6014393,19.971,15616,11780.7,58,18.4,81.75,
2026-08-03T21:24:21,スワップ総当たり連続,4,2,gemma4:26b,gpt-oss:20b,15554,1448,14106,1.039,11.2949641,14.051398,12.334,13948,11327.6,92,22.3,139.36,
2026-08-03T21:24:38,スワップ総当たり連続,4,3,gpt-oss:20b,devstral-small-2:24b,13915,1431,12484,0.897,10.7655494,16.1142379,11.663,15411,12291.5,62,22.8,28.01,
2026-08-03T21:24:39,スワップ総当たり連続,-,-,devstral-small-2:24b,(全停止・リーク確認),15410,1289,14121,0.908,,,,,,,,,開始前アイドルVRAM 1678MiB → 全スワップ終了後アイドルVRAM 1289MiB(差分 -389.0MiB)
